win_width,win_step,nb_species,nb_replic,f_opt_max,seqgen_par0,seqgen_par1,seqgen_par2,scaling_factor0,scaling_factor1,scaling_factor2,lv_q_func_ratio_avg,lv_rand_ratio_avg
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,6.0,1,1.10788948491522,1.0070198196936
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,7.0,1,1.10423128603637,1.01862816556674
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,8.0,1,1.10195533523489,1.01113546105204
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,9.0,1,1.12463456977832,1.02238786479583
14,14,16,10,4,"-q -mGTR","-q -mGTR","-q -mGTR",1,10.0,1,1.10397526408488,1.02600153150088
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.1,1,1,5.75546793040276,0.990848636822479
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.11,1,1,5.21247839392442,0.962993834401312
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.13,1,1,4.23988722969533,0.978879422516594
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.14,1,1,4.16262292399312,0.972641608904358
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.17,1,1,3.4360432260955,0.986005020677254
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.2,1,1,2.79252038609551,0.984947225471161
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.25,1,1,2.14053191248221,0.993558145732713
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.33,1,1,1.73415731939941,0.983660491029149
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",0.5,1,1,1.24704483744133,0.987589418384469
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",1.0,1,1,1.02497019011298,0.992953454515458
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",2.0,1,1,1.05223931326077,0.991863762970564
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",3.0,1,1,1.05389017184556,0.992589060502095
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",4.0,1,1,1.13907435392587,0.986996957786061
14,14,16,10,1,"-q -mGTR","-q -mGTR","-q -mGTR",5.0,1,1,1.05693292393599,0.994657608689544
