GN,ALS,ALD,WEIGHT,FRAGM_ID,GENE_ID,SOURCE_ID,DEST_ID
  3         , 7283       , 3229       ,0.0082294264,436157      ,113         ,226227160   ,110667082   
  3         , 7283       ,10730       ,0.0082294264,436157      ,113         ,226227160   ,344210741   
  3         , 7283       , 2427       ,0.0082294264,436157      ,113         ,226227160   , 55379745   
  3         , 7283       , 2711       ,0.0082294264,436157      ,113         ,226227160   , 76803150   
  3         , 1745       , 3229       ,0.0082294264,436157      ,113         , 45655962   ,110667082   
  3         , 1745       , 8872       ,0.0082294264,436157      ,113         , 45655962   ,292655989   
  3         , 7283       , 8872       ,0.0082294264,436157      ,113         ,226227160   ,292655989   
  3         , 1745       , 2711       ,0.0082294264,436157      ,113         , 45655962   , 76803150   
  3         ,10730       , 7283       ,0.0584372402,436157      ,113         ,344210741   ,226227160   
  3         , 1745       ,10730       ,0.0082294264,436157      ,113         , 45655962   ,344210741   
  3         , 3229       , 5214       ,0.0584372402,436157      ,113         ,110667082   ,189218097   
  3         , 3229       , 7283       ,0.0584372402,436157      ,113         ,110667082   ,226227160   
  3         , 3229       , 1745       ,0.0584372402,436157      ,113         ,110667082   , 45655962   
  3         , 8872       , 5214       ,0.0584372402,436157      ,113         ,292655989   ,189218097   
  3         , 8872       , 7283       ,0.0584372402,436157      ,113         ,292655989   ,226227160   
  3         , 8872       , 1745       ,0.0584372402,436157      ,113         ,292655989   , 45655962   
  3         ,10730       , 5214       ,0.0584372402,436157      ,113         ,344210741   ,189218097   
  3         , 1745       , 2427       ,0.0082294264,436157      ,113         , 45655962   , 55379745   
  3         ,10730       , 1745       ,0.0584372402,436157      ,113         ,344210741   , 45655962   
  3         , 2427       , 5214       ,0.0584372402,436157      ,113         , 55379745   ,189218097   
  3         , 2427       , 7283       ,0.0584372402,436157      ,113         , 55379745   ,226227160   
  3         , 2427       , 1745       ,0.0584372402,436157      ,113         , 55379745   , 45655962   
  3         , 2711       , 5214       ,0.0584372402,436157      ,113         , 76803150   ,189218097   
  3         , 2711       , 7283       ,0.0584372402,436157      ,113         , 76803150   ,226227160   
  3         , 2711       , 1745       ,0.0584372402,436157      ,113         , 76803150   , 45655962   
  3         , 6753       , 7344       ,0.0034013605,436158      ,113         ,222096790   ,226310121   
  3         , 2175       , 7344       ,0.0034013605,436158      ,113         , 52142218   ,226310121   
  3         , 1905       , 7344       ,0.0034013605,436158      ,113         , 49479017   ,226310121   
  3         , 7344       , 1905       ,0.3299319728,436158      ,113         ,226310121   , 49479017   
  3         , 7344       , 2175       ,0.3299319728,436158      ,113         ,226310121   , 52142218   
  3         , 7344       , 6753       ,0.3299319728,436158      ,113         ,226310121   ,222096790   
  4         , 9634       , 1875       ,0.8689903846,436159      ,114         ,301051777   , 49477600   
  4         , 1875       , 9634       ,0.1310096154,436159      ,114         , 49477600   ,301051777   
  5         , 1660       ,  964       ,0.5388601036,436160      ,115         , 39933515   , 27375896   
  5         ,  964       , 1660       ,0.4611398964,436160      ,115         , 27375896   , 39933515   
  9         , 7871       , 7991       ,0.9886492622,436161      ,119         ,258509417   ,258540613   
  9         , 7991       , 7871       ,0.0113507378,436161      ,119         ,258540613   ,258509417   
  9         , 5917       , 9321       ,0.8888888889,436162      ,119         ,217077296   ,298735669   
  9         , 9321       , 5917       ,0.1111111111,436162      ,119         ,298735669   ,217077296   
  9         , 5454       , 7794       ,0.1074168798,436163      ,119         ,191637801   ,258507868   
  9         , 5454       , 7914       ,0.1074168798,436163      ,119         ,191637801   ,258539114   
  9         , 7794       , 5454       ,0.3925831202,436163      ,119         ,258507868   ,191637801   
  9         , 7914       , 5454       ,0.3925831202,436163      ,119         ,258539114   ,191637801   
 10         , 7987       , 7867       ,0.7812828601,436164      ,120         ,258540482   ,258509296   
 10         , 7867       , 7987       ,0.2187171399,436164      ,120         ,258509296   ,258540482   
 10         ,  231       , 8419       ,0.9281364190,436165      ,120         , 15672649   ,281491129   
 10         , 8419       ,  231       ,0.0718635810,436165      ,120         ,281491129   , 15672649   
 11         , 4091       , 5653       ,0.0144529821,436166      ,121         ,148256385   ,209964047   
 11         , 1715       , 5653       ,0.0144529821,436166      ,121         , 39936306   ,209964047   
 11         , 1030       , 5653       ,0.0144529821,436166      ,121         , 27380504   ,209964047   
 11         , 1030       , 4794       ,0.0144529821,436166      ,121         , 27380504   ,162149167   
 11         , 4091       , 4794       ,0.0144529821,436166      ,121         ,148256385   ,162149167   
 11         , 5653       , 1715       ,0.1522136846,436166      ,121         ,209964047   , 39936306   
 11         , 1715       , 4794       ,0.0144529821,436166      ,121         , 39936306   ,162149167   
 11         , 5653       , 4091       ,0.1522136846,436166      ,121         ,209964047   ,148256385   
 11         , 4794       , 1715       ,0.1522136846,436166      ,121         ,162149167   , 39936306   
 11         , 4794       , 1030       ,0.1522136846,436166      ,121         ,162149167   , 27380504   
 11         , 4794       , 4091       ,0.1522136846,436166      ,121         ,162149167   ,148256385   
 11         , 5653       , 1030       ,0.1522136846,436166      ,121         ,209964047   , 27380504   
 12         , 1907       , 2181       ,0.4846938776,436167      ,122         , 49479054   , 52142569   
 12         , 2181       , 1907       ,0.5153061224,436167      ,122         , 52142569   , 49479054   
 12         , 7118       ,  821       ,0.9750623441,436168      ,122         ,225871851   , 21674730   
 12         ,  821       , 7118       ,0.0249376559,436168      ,122         , 21674730   ,225871851   
 12         , 7039       ,10214       ,0.4215328467,436169      ,122         ,225619738   ,337736112   
 12         , 9624       ,10214       ,0.4215328467,436169      ,122         ,300871821   ,337736112   
 12         ,10214       , 9624       ,0.0784671533,436169      ,122         ,337736112   ,300871821   
 12         ,10214       , 7039       ,0.0784671533,436169      ,122         ,337736112   ,225619738   
 12         , 2740       , 6585       ,0.2652068127,436170      ,122         , 86356530   ,222085064   
 12         , 5361       , 6585       ,0.2652068127,436170      ,122         ,190890596   ,222085064   
 12         , 6585       , 2740       ,0.2347931873,436170      ,122         ,222085064   , 86356530   
 12         , 6585       , 5361       ,0.2347931873,436170      ,122         ,222085064   ,190890596   
 12         , 6585       , 4053       ,0.9893730074,436171      ,122         ,222085064   ,148255201   
 12         , 4053       , 5361       ,0.0035423309,436171      ,122         ,148255201   ,190890596   
 12         , 4053       , 6585       ,0.0035423309,436171      ,122         ,148255201   ,222085064   
 12         , 4053       , 2740       ,0.0035423309,436171      ,122         ,148255201   , 86356530   
 14         , 3919       , 1038       ,0.9702970297,436172      ,124         ,134099942   , 27380714   
 14         , 1038       , 3919       ,0.0297029703,436172      ,124         , 27380714   ,134099942   
 14         , 9528       , 1587       ,0.1696969697,436173      ,124         ,300313752   , 34557494   
 14         , 1587       , 9528       ,0.8303030303,436173      ,124         , 34557494   ,300313752   
 14         , 3545       ,10060       ,0.9873737374,436174      ,124         ,118431564   ,320450505   
 14         ,10060       , 3545       ,0.0126262626,436174      ,124         ,320450505   ,118431564   
 14         , 3962       , 1276       ,0.0083711691,436175      ,124         ,134102610   , 31794188   
 14         , 3962       , 6997       ,0.0083711691,436175      ,124         ,134102610   ,224991385   
 14         , 3962       , 5141       ,0.0083711691,436175      ,124         ,134102610   ,183981715   
 14         , 3962       ,  199       ,0.0083711691,436175      ,124         ,134102610   , 15610148   
 14         , 3962       , 4218       ,0.0083711691,436175      ,124         ,134102610   ,148662862   
 14         , 3962       , 3855       ,0.0083711691,436175      ,124         ,134102610   ,121638893   
 14         , 3962       ,10526       ,0.0083711691,436175      ,124         ,134102610   ,339633018   
 14         , 3962       ,10615       ,0.0083711691,436175      ,124         ,134102610   ,340628001   
 14         ,10615       , 3962       ,0.1166288309,436175      ,124         ,340628001   ,134102610   
 14         ,10526       , 3962       ,0.1166288309,436175      ,124         ,339633018   ,134102610   
 14         , 1276       , 3962       ,0.1166288309,436175      ,124         , 31794188   ,134102610   
 14         , 6997       , 3962       ,0.1166288309,436175      ,124         ,224991385   ,134102610   
 14         , 5141       , 3962       ,0.1166288309,436175      ,124         ,183981715   ,134102610   
 14         ,  199       , 3962       ,0.1166288309,436175      ,124         , 15610148   ,134102610   
 14         , 4218       , 3962       ,0.1166288309,436175      ,124         ,148662862   ,134102610   
 14         , 3855       , 3962       ,0.1166288309,436175      ,124         ,121638893   ,134102610   
 14         , 8749       , 4746       ,0.9019801980,436176      ,124         ,291616409   ,162147781   
 14         , 4746       , 8749       ,0.0980198020,436176      ,124         ,162147781   ,291616409   
 15         , 6857       , 5745       ,0.9900990099,436177      ,125         ,224369777   ,209966604   
 15         , 5745       , 6857       ,0.0099009901,436177      ,125         ,209966604   ,224369777   
 15         , 9542       ,10202       ,0.3850174216,436178      ,125         ,300869879   ,337735367   
 15         , 7054       ,10202       ,0.3850174216,436178      ,125         ,225620072   ,337735367   
 15         ,10202       , 9542       ,0.1149825784,436178      ,125         ,337735367   ,300869879   
 15         ,10202       , 7054       ,0.1149825784,436178      ,125         ,337735367   ,225620072   
 15         , 2532       , 8293       ,0.0014208582,436179      ,125         , 62182344   ,260870462   
 15         , 2532       , 8196       ,0.0014208582,436179      ,125         , 62182344   ,260857856   
 15         , 2532       , 8096       ,0.0014208582,436179      ,125         , 62182344   ,260846486   
 15         , 2532       , 7727       ,0.0014208582,436179      ,125         , 62182344   ,254795735   
 15         , 2532       , 7625       ,0.0014208582,436179      ,125         , 62182344   ,254163681   
 15         , 2532       , 7524       ,0.0014208582,436179      ,125         , 62182344   ,238902820   
 15         , 2532       , 8704       ,0.0014208582,436179      ,125         , 62182344   ,291285153   
 15         , 2532       , 6439       ,0.0014208582,436179      ,125         , 62182344   ,218702579   
 15         , 2532       , 6335       ,0.0014208582,436179      ,125         , 62182344   ,218697455   
 15         , 2532       , 6234       ,0.0014208582,436179      ,125         , 62182344   ,218692017   
 15         , 2532       , 6131       ,0.0014208582,436179      ,125         , 62182344   ,218560804   
 15         , 2532       , 2897       ,0.0014208582,436179      ,125         , 62182344   , 91213253   
 15         , 2532       , 5844       ,0.0014208582,436179      ,125         , 62182344   ,215489067   
 15         , 2532       ,  526       ,0.0014208582,436179      ,125         , 62182344   , 16131597   
 15         , 2532       , 3513       ,0.0014208582,436179      ,125         , 62182344   ,117626002   
 15         , 2532       ,  921       ,0.0014208582,436179      ,125         , 62182344   , 26250472   
 15         , 2532       , 6538       ,0.0014208582,436179      ,125         , 62182344   ,218707375   
 15         , 2532       , 6029       ,0.0014208582,436179      ,125         , 62182344   ,218556300   
 15         , 2897       , 2532       ,0.0541346974,436179      ,125         , 91213253   , 62182344   
 15         , 3513       , 2532       ,0.0541346974,436179      ,125         ,117626002   , 62182344   
 15         ,  526       , 2532       ,0.0541346974,436179      ,125         , 16131597   , 62182344   
 15         , 5844       , 2532       ,0.0541346974,436179      ,125         ,215489067   , 62182344   
 15         , 6131       , 2532       ,0.0541346974,436179      ,125         ,218560804   , 62182344   
 15         , 6234       , 2532       ,0.0541346974,436179      ,125         ,218692017   , 62182344   
 15         , 6335       , 2532       ,0.0541346974,436179      ,125         ,218697455   , 62182344   
 15         , 6439       , 2532       ,0.0541346974,436179      ,125         ,218702579   , 62182344   
 15         , 6538       , 2532       ,0.0541346974,436179      ,125         ,218707375   , 62182344   
 15         , 6029       , 2532       ,0.0541346974,436179      ,125         ,218556300   , 62182344   
 15         , 7625       , 2532       ,0.0541346974,436179      ,125         ,254163681   , 62182344   
 15         , 7727       , 2532       ,0.0541346974,436179      ,125         ,254795735   , 62182344   
 15         , 8096       , 2532       ,0.0541346974,436179      ,125         ,260846486   , 62182344   
 15         , 8196       , 2532       ,0.0541346974,436179      ,125         ,260857856   , 62182344   
 15         , 7524       , 2532       ,0.0541346974,436179      ,125         ,238902820   , 62182344   
 15         , 8293       , 2532       ,0.0541346974,436179      ,125         ,260870462   , 62182344   
 15         ,  921       , 2532       ,0.0541346974,436179      ,125         , 26250472   , 62182344   
